system,algorithm,num_runs,mean_fitness,std_fitness,median_fitness,best_fitness,worst_fitness,mean_loss_kW,std_loss_kW,mean_voltage_dev_pu,std_voltage_dev_pu,mean_cost_abs_usd_per_year,std_cost_abs_usd_per_year,mean_runtime_s,mean_pf_calls,success_rate
BaituF8-redacted,DE,10,0.5436023986904461,0.00410421987901659,0.5419273120657256,0.5365989010719999,0.5516582111093469,93.31323108111887,3.1497862173132467,0.024441143239330707,0.0013334825896077283,128501.87447366092,2969.0697738998233,0.16671931743621826,1312.8,100.0
BaituF8-redacted,GA,10,0.5825503694056477,0.012594544183119682,0.5835527143835717,0.5632905144447712,0.6089483500151585,111.4737677791472,3.3783779303943797,0.021425429812032746,0.0007795860820781609,142074.51288754036,2942.655695174017,0.147104811668396,1266.0,70.0
BaituF8-redacted,GA-PSO,10,0.5649056999405662,0.014114989497084198,0.5587654696931776,0.5471971231142863,0.5977901223724783,104.75628066904869,5.823617379873303,0.02236396878116048,0.0008672770416136263,137377.79975534833,4762.448846520047,0.27894437313079834,2392.2,100.0
BaituF8-redacted,MOEA/D,10,0.8869246889055511,0.093786910075763,0.8855301453301003,0.7239753726241203,1.0460613747937553,120.02553239818249,5.378101017666314,0.021539289311084044,0.0009455769979117945,147565.8245303721,5962.21134352373,0.06800687313079834,205.1,0.0
BaituF8-redacted,NSGA-III,10,0.6244947605078297,0.050388047023498125,0.6040725341315574,0.5731407773230572,0.7231951870674583,121.3530575210956,5.5610409535528165,0.019729109577116093,0.0005135820794964771,151002.1313693415,4831.55148400364,0.18641855716705322,1339.2,60.0
BaituF8-redacted,PSO,10,0.5541701642356472,0.011841344625695345,0.5540996347326229,0.5403587615122448,0.5838848824227304,100.06320886982823,7.206412273513992,0.022885173652052358,0.001943827864742773,134089.81639123562,6397.308237962884,0.11608474254608155,1147.2,100.0
IEEE33,DE,30,0.5359297362911674,0.005000927776697616,0.5349964585354048,0.5252549930865503,0.5497369898465159,84.61125625593014,4.062271933883935,0.024577077130202924,0.001439439990782228,106724.58570880911,3887.448539613149,0.3975803772608439,1197.6,100.0
IEEE33,GA,30,0.5548835148868427,0.01067981266537898,0.5538749511824212,0.5363252705243724,0.583951353723096,96.05511358428626,4.329417171107087,0.02185005799508048,0.0009525074115637358,116664.25431496628,3895.6848553291366,0.14118098417917888,1223.0666666666666,100.0
IEEE33,GA-PSO,30,0.5399875326452078,0.00934983521113734,0.5405834813472903,0.5184826911662883,0.5589589246742573,89.80939666823389,5.757916467379454,0.022758056134295195,0.0017624398251076942,111262.86110784639,5299.308381753884,0.6644954999287923,2211.233333333333,100.0
IEEE33,MOEA/D,30,0.6430352708273953,0.09628177542333602,0.6027498912698441,0.5488465612366511,1.0221624080666774,107.76970616610555,7.90412182552969,0.021241223393064237,0.0015855785782340592,127510.97716541638,7483.406452996315,0.2078977902730306,250.96666666666667,53.333333333333336
IEEE33,NSGA-III,30,0.5874029338944086,0.03774855740353598,0.5772117301411283,0.5611233941605167,0.7814953588059514,110.56548831872448,3.3421640210872714,0.018587789224869818,0.0008608748699240105,130650.59514537672,3172.7448118873767,0.43546229203542075,1256.0,93.33333333333333
IEEE33,PSO,30,0.5362597261839529,0.008561965894348406,0.5357669422908053,0.5140170803452204,0.5548192544017247,89.0008571739056,4.808878387142047,0.022508398479905784,0.0016597557679930025,111421.70186938517,4609.110252107598,0.25606103738149005,1142.0333333333333,100.0
IEEE69,DE,10,0.5288181697875837,0.004526207619020065,0.5278441291881826,0.5230420197828503,0.5367677222900409,106.02266748170996,4.415085463694357,0.024070149360526576,0.0013465779446359984,139753.803237206,4235.01350335197,0.1653578519821167,1233.6,100.0
IEEE69,GA,10,0.7407125288657241,0.17313905096348195,0.696061076446906,0.5672626790903998,1.1379174476835834,129.8837785794913,8.28101730601443,0.022034188702605022,0.0009148496277934226,160024.63312794612,7106.713955092393,0.4011662006378174,1203.2,20.0
IEEE69,GA-PSO,10,0.5794257276052566,0.048947142812320724,0.5672371878430478,0.5338091861467689,0.7045497980095164,120.29609050600898,7.143612587547906,0.022158253818250904,0.0012528915145235,151796.97837705413,6285.171813493809,0.2757280349731445,2272.6,40.0
IEEE69,MOEA/D,10,1.1955428577951348,0.25799383036212786,1.2002247148735696,0.742384152111775,1.6672791209418378,135.46706850942385,7.589245598059688,0.022140246977234403,0.0010231990715082308,162195.06355057814,6919.19450689135,0.056367897987365724,148.3,0.0
IEEE69,NSGA-III,10,0.8094923525370442,0.10161112877170198,0.7971886493947133,0.6044809954433917,0.9522638307308401,136.72743615408427,4.608416413453791,0.019889993574830973,0.0007152411511941414,167359.051335482,4741.094687990373,0.19159419536590577,1344.0,0.0
IEEE69,PSO,10,0.598344793053422,0.16080024054629524,0.5468605310680188,0.5100806211948866,1.0725192172189462,112.3012860143281,12.173089536289774,0.024016695802963246,0.0011672194591717787,144923.53530860366,9867.455477189722,0.19569871425628663,933.6,60.0
